,PersonId,Probability
0,9799VH60WU,0.899
1,9899AP24KC,0.862
2,9799VH9JPS,0.856
3,9799VHYDUO,0.854
4,9899Q9ID8N,0.854
5,9799VS7U3J,0.845
6,9799VHYQPI,0.844
7,979929Y34D,0.844
8,98994X7J22,0.843
9,9799Q49X70,0.839
10,9898PJ31MY,0.837
11,9799VEXV9D,0.828
12,9898NPHIJC,0.824
13,9799VIDU06,0.82
14,9799VH80DQ,0.819
15,9799VH6XIV,0.816
16,9898YIPJP1,0.816
17,9898HCND7P,0.815
18,9799MQHWNN,0.814
19,9799VKAE6P,0.814
20,989919B6OT,0.812
21,98994YC2PA,0.809
22,9799TIQBG6,0.807
23,9799VH9VTJ,0.806
24,9799VH0T0P,0.804
25,9899A9YU6P,0.804
26,9898I1U3N6,0.803
27,9799VHP0Q1,0.797
28,9799VH9B5Y,0.796
29,9799VDUHMU,0.795
30,979929T6C5,0.795
31,9899CTEONX,0.794
32,979929UTKY,0.793
33,9899VYCP3N,0.79
34,9899I35UD2,0.789
35,9799VH81GG,0.788
36,9799VH263U,0.788
37,9799VICTMI,0.788
38,9799VH9IUX,0.786
39,9899HIQ3KK,0.786
40,9799NK4GV2,0.784
41,98996YHN70,0.783
42,9799VGPVJG,0.782
43,9899DPBUAU,0.78
44,9899HSNT98,0.78
45,9799VH61TM,0.78
46,9898UVVC2B,0.779
47,97993U3AX2,0.779
48,98981M89KH,0.778
49,989870QVUN,0.778
50,9899HIQXA2,0.778
51,9799VH120H,0.777
52,9799VH83EK,0.776
53,9799VH2E1Y,0.775
54,9799VHNP91,0.774
55,9898WP68XM,0.771
56,9799T1MK9G,0.771
57,9899W92CJA,0.768
58,9799SOMQ7D,0.766
59,9799UM0CY6,0.765
60,9799VID6IQ,0.765
61,98990O4A9C,0.765
62,9899JSWD7A,0.763
63,8893KQMHJP,0.762
64,9799NHJC4W,0.762
65,9799VH751N,0.762
66,9799VHKBOX,0.761
67,9799QMY0UK,0.761
68,97993YHYT7,0.761
69,9799VH6GBE,0.761
70,9799VH816S,0.759
71,989919CSWU,0.759
72,9799VH84TC,0.758
73,98988X6QDW,0.757
74,9799MQH53Y,0.756
75,9898J66E43,0.755
76,9799VH83A6,0.753
77,9799WBT7UA,0.752
78,9898W024CK,0.752
79,9799VHYAJK,0.751
80,9799W0677A,0.751
81,9799VHPM56,0.751
82,9799VH6PBI,0.75
83,9799VH84DD,0.75
84,9899I354JY,0.75
85,9799SKSPTD,0.748
86,979929X2YT,0.748
87,9799VH5AQI,0.747
88,9799VJW4VV,0.747
89,98990O4BST,0.746
90,9799VH611Q,0.746
91,9799VGETB4,0.745
92,9899C7Q0A5,0.745
93,9898M05CPC,0.745
94,9799VH2IAE,0.744
95,9799VH831C,0.743
96,9799T9TPG9,0.743
97,9799VH2JX0,0.741
98,9898UGJVXB,0.74
99,9898PQJB7X,0.74
